iter	Passed	Remaining
0	164	164083
1	166	82852
2	167	55823
3	169	42180
4	170	34004
5	171	28449
6	173	24606
7	174	21626
8	175	19291
9	175	17409
10	176	15869
11	177	14589
12	177	13505
13	178	12573
14	179	11765
15	179	11064
16	180	10445
17	181	9891
18	181	9392
19	182	8944
20	183	8540
21	183	8171
22	184	7835
23	185	7526
24	185	7242
25	186	6997
26	188	6788
27	189	6563
28	189	6353
29	190	6156
30	191	5973
31	191	5800
32	192	5637
33	193	5487
34	193	5345
35	194	5209
36	195	5080
37	195	4958
38	196	4842
39	197	4731
40	197	4626
41	198	4526
42	199	4431
43	199	4340
44	200	4263
45	202	4194
46	202	4115
47	203	4038
48	204	3966
49	205	3900
50	206	3833
51	206	3768
52	207	3704
53	207	3643
54	208	3584
55	209	3527
56	209	3472
57	210	3419
58	211	3367
59	211	3317
60	212	3269
61	213	3223
62	213	3178
63	214	3137
64	216	3107
65	216	3070
66	217	3030
67	218	2992
68	219	2956
69	219	2920
70	220	2884
71	221	2850
72	221	2816
73	222	2783
74	223	2751
75	223	2720
76	224	2689
77	224	2658
78	225	2629
79	226	2601
80	226	2573
81	227	2546
82	227	2516
83	228	2491
84	229	2466
85	230	2451
86	231	2428
87	232	2406
88	233	2385
89	233	2364
90	234	2342
91	235	2320
92	235	2298
93	236	2277
94	236	2257
95	237	2237
96	238	2217
97	238	2197
98	239	2178
99	240	2160
100	240	2142
101	241	2124
102	241	2107
103	242	2090
104	243	2073
105	243	2056
106	245	2047
107	246	2033
108	247	2020
109	247	2006
110	248	1992
111	249	1978
112	250	1963
113	250	1949
114	251	1936
115	252	1922
116	252	1908
117	253	1895
118	254	1882
119	254	1869
120	255	1856
121	256	1843
122	256	1831
123	257	1819
124	258	1807
125	259	1798
126	260	1791
127	261	1781
128	262	1770
129	262	1759
130	263	1748
131	264	1737
132	264	1726
133	265	1715
134	266	1704
135	266	1694
136	267	1683
137	267	1673
138	268	1663
139	269	1653
140	269	1643
141	270	1632
142	270	1623
143	271	1614
144	272	1605
145	272	1596
146	273	1587
147	274	1582
148	275	1575
149	276	1567
150	277	1558
151	277	1550
152	278	1542
153	279	1533
154	279	1525
155	280	1517
156	281	1509
157	281	1501
158	282	1493
159	283	1485
160	283	1477
161	284	1469
162	284	1462
163	285	1454
164	285	1447
165	286	1439
166	287	1433
167	287	1425
168	288	1420
169	290	1416
170	290	1410
171	291	1403
172	292	1397
173	293	1392
174	293	1385
175	294	1379
176	295	1372
177	295	1366
178	296	1360
179	297	1353
180	297	1347
181	298	1341
182	299	1335
183	299	1329
184	300	1323
185	300	1317
186	301	1311
187	302	1305
188	302	1299
189	304	1297
190	305	1292
191	305	1287
192	306	1281
193	307	1276
194	308	1271
195	308	1266
196	309	1260
197	310	1255
198	310	1250
199	311	1245
200	311	1239
201	312	1234
202	313	1229
203	313	1224
204	314	1219
205	315	1214
206	315	1209
207	316	1204
208	317	1199
209	317	1195
210	319	1193
211	320	1190
212	320	1185
213	321	1180
214	322	1176
215	322	1172
216	323	1167
217	324	1162
218	324	1158
219	325	1154
220	326	1149
221	326	1145
222	327	1141
223	328	1136
224	328	1132
225	329	1128
226	330	1124
227	330	1120
228	331	1115
229	332	1111
230	332	1107
231	334	1105
232	334	1102
233	335	1098
234	336	1094
235	337	1091
236	337	1087
237	338	1083
238	339	1079
239	339	1075
240	340	1071
241	340	1067
242	341	1063
243	342	1060
244	342	1056
245	343	1052
246	344	1048
247	344	1045
248	345	1041
249	345	1037
250	346	1034
251	347	1030
252	347	1027
253	349	1025
